label,n_resolved,mean_c,rank_biserial,p_two,expected_direction,direction_confirmed,p_fdr
Brauer UP (growth ↑),58,0.8622061225862069,0.52722185858188,4.507297809808274e-12,high_c,True,1.8029191239233095e-11
Brauer DOWN (growth ↓),31,0.8130556406451613,0.3733628223109289,0.0003294955609869313,low_c,False,0.0003294955609869313
Gasch ESR induced,29,0.8595506413793103,0.49942932245010896,3.373267343720901e-06,low_c,False,6.746534687441802e-06
Gasch ESR repressed,33,0.828833176969697,0.4015328933361719,6.78109971572753e-05,high_c,True,9.041466287636707e-05
