group,std_name,orf_id,cross_weight_c,pct_rank_from_top,iaa_mean_sens
growth,RPS3,YNL178W,0.95823,98.1,0.42527
growth,RPL28,YGL103W,0.90441,85.9,0.463
growth,RPL3,YOR063W,0.91564,88.8,0.34168
growth,RPL5,YPL131W,0.8844,80.3,0.2924
growth,RPL6A,YML073C,0.91763,89.3,0.37162
growth,RPL7A,YGL076C,0.86022,73.7,0.45624
growth,RPS2,YGL123W,0.9701,99.5,0.31612
growth,RPS5,YJR123W,0.95475,97.6,0.29564
growth,TEF1,YPR080W,0.94111,94.7,0.3407
growth,TEF2,YBR118W,0.97171,99.6,0.26257
growth,CDC19,YAL038W,0.95297,97.2,0.26348
growth,ENO2,YHR174W,0.94944,96.5,0.31953
growth,TDH3,YGR192C,0.93086,92.4,0.33879
growth,TDH2,YJR009C,0.92411,90.9,0.40248
growth,GPM1,YKL152C,0.92091,90.2,0.34216
growth,PGK1,YCR012W,0.92892,91.9,0.35719
growth,FBA1,YKL060C,0.93185,92.7,0.32301
growth,TPI1,YDR050C,0.96074,98.5,0.35103
growth,ADH1,YOL086C,0.9679,99.2,0.54991
growth,ILV5,YLR355C,0.96534,99.0,0.37565
growth,LEU4,YNL104C,0.9379,94.2,0.50635
growth,HIS4,YCL030C,0.6563,31.6,0.80729
growth,ARG4,YHR018C,0.89865,84.1,0.53998
sporulation,IME1,YJR094C,0.75841,49.2,0.39679
sporulation,IME2,YJL106W,0.87376,77.6,0.36602
sporulation,NDT80,YHR124W,0.75053,47.7,0.2657
sporulation,ZIP1,YDR285W,0.81572,62.4,0.26452
sporulation,ZIP2,YGL249W,0.64419,29.7,0.24135
sporulation,HOP1,YIL072W,0.89022,82.0,0.25936
sporulation,RED1,YLR263W,0.45096,8.4,0.43348
sporulation,SPO11,YHL022C,0.86478,75.1,0.44854
sporulation,REC8,YPR007C,0.71429,40.8,0.3044
sporulation,DMC1,YER179W,0.83541,67.2,0.37615
sporulation,HOP2,YGL033W,0.83194,66.4,0.31154
sporulation,MND1,YGL183C,0.81968,63.5,0.24569
sporulation,MSH4,YFL003C,0.74164,45.8,0.22501
sporulation,SPO20,YMR017W,0.96154,98.6,0.27262
sporulation,SPS4,YOR313C,0.85393,72.1,0.50031
sporulation,DIT1,YDR403W,0.95531,97.7,0.31074
sporulation,DIT2,YDR402C,0.96207,98.6,0.26133
sporulation,SUM1,YDR310C,0.48495,10.6,0.2641
sporulation,SMK1,YPR054W,0.92941,92.0,0.32676
