GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0044281,small molecule metabolic process,biological_process,6.432489322316313e-28,5.155640191836524e-24,23.28771739933891,27.191620926029074,151,601,629,6011,0.2512479201331115,2.4010353703022784,enriched,High cross-weight c
GO:0019752,carboxylic acid metabolic process,biological_process,1.0783863897600522e-21,4.321633456963408e-18,17.364352070948566,20.96722560197475,87,601,299,6011,0.1447587354409318,2.9101831395834146,enriched,High cross-weight c
GO:0043436,oxoacid metabolic process,biological_process,2.5228135640928222e-21,6.7401169054013235e-18,17.171332570685692,20.59811484265619,89,601,314,6011,0.1480865224625624,2.8348665175874603,enriched,High cross-weight c
GO:0006082,organic acid metabolic process,biological_process,4.066780394176365e-21,6.758567499663066e-18,17.170145344430836,20.390749278830338,89,601,316,6011,0.1480865224625624,2.8169243244381725,enriched,High cross-weight c
GO:0044283,small molecule biosynthetic process,biological_process,4.216199313576461e-21,6.758567499663066e-18,17.170145344430836,20.375078866784982,82,601,276,6011,0.13643926788685523,2.971508837927126,enriched,High cross-weight c
GO:0005975,carbohydrate metabolic process,biological_process,3.6776349072647393e-20,4.9127072969544814e-17,16.308679110708322,19.434431387014843,65,601,192,6011,0.10815307820299501,3.3859799639489743,enriched,High cross-weight c
GO:0009058,biosynthetic process,biological_process,2.3239977755923567e-15,2.328355271421592e-12,11.632950752266975,14.633764291965196,210,601,1299,6011,0.34941763727121466,1.6168971652326953,enriched,High cross-weight c
GO:0008152,metabolic process,biological_process,9.074867970945575e-15,6.876071156409392e-12,11.162659637704,14.042159684738891,399,601,3094,6011,0.6638935108153078,1.2898073346835215,enriched,High cross-weight c
GO:0006520,amino acid metabolic process,biological_process,1.3359898507223827e-14,7.64854189538564e-12,11.116421350094061,13.874196841105988,58,601,200,6011,0.09650582362728785,2.9004825291181366,enriched,High cross-weight c
GO:0008652,amino acid biosynthetic process,biological_process,6.203790168098153e-14,3.314891879820446e-11,10.479530632195294,13.207342899829776,37,601,96,6011,0.06156405990016639,3.8548079589572937,enriched,High cross-weight c
GO:0016052,carbohydrate catabolic process,biological_process,4.2172604498347755e-13,1.9883142650250427e-10,9.70151497165921,12.374969576971099,32,601,78,6011,0.05324459234608985,4.103246725542899,enriched,High cross-weight c
GO:0006090,pyruvate metabolic process,biological_process,6.882989694996401e-13,2.926681815851879e-10,9.533624490798578,12.162222880658318,22,601,39,6011,0.036605657237936774,5.641964247621486,enriched,High cross-weight c
GO:1901607,alpha-amino acid biosynthetic process,biological_process,6.937860823603955e-13,2.926681815851879e-10,9.533624490798578,12.158774416535913,35,601,93,6011,0.05823627287853577,3.7640670566976184,enriched,High cross-weight c
