pct,group,n_genes,n_fdr_enriched,n_fdr_depleted,n_fdr_total,n_raw_total,min_p_fdr
5,High cross-weight c,300,146,4,150,299,1.1700220210828838e-20
5,Low cross-weight c,300,0,69,69,205,2.9815176476887775e-32
10,High cross-weight c,601,179,29,208,414,5.155640191836524e-24
10,Low cross-weight c,601,0,88,88,246,2.7469995563097825e-35
15,High cross-weight c,901,200,25,225,439,1.5230947366355858e-21
15,Low cross-weight c,901,1,96,97,317,4.3373330215299046e-33
20,High cross-weight c,1202,196,47,243,467,2.2405535015633987e-23
20,Low cross-weight c,1202,3,96,99,395,1.5146093841141637e-27
25,High cross-weight c,1502,209,59,268,521,1.5523081290082876e-23
25,Low cross-weight c,1502,4,112,116,431,1.6574979033961105e-24
