GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0044281,small molecule metabolic process,biological_process,629,6011,0.8032213708426073,0.7244528781452337,0.3168962785331071,2229030.0,8.864183457330337e-39,high_c,3.758413785908063e-36,35.42499540756604,38.05236126415877
GO:0009058,biosynthetic process,biological_process,1299,6011,0.7782259388221708,0.7244528781452337,0.23059399224426258,3766164.0,3.3664526756953684e-37,high_c,7.136879672474181e-35,34.14649162537016,36.47282748629891
GO:0002181,cytoplasmic translation,biological_process,131,6011,0.866620996870229,0.7244528781452337,0.5511242665004934,597400.0,3.260284297481694e-27,high_c,4.607868473774128e-25,24.336499925836872,26.48674452770994
GO:0005198,structural molecule activity,molecular_function,359,6011,0.8116694287465182,0.7244528781452337,0.3355284298012684,1354939.0,1.3114939112484113e-26,high_c,1.390183545923316e-24,23.856927856063034,25.882233721327808
GO:0006412,translation,biological_process,260,6011,0.8258404257307693,0.7244528781452337,0.3784679587496489,1030584.0,4.741776655909133e-25,high_c,3.7911460890124925e-23,22.421229480034246,24.324058905733313
GO:0003735,structural constituent of ribosome,molecular_function,209,6011,0.8366687751674642,0.7244528781452337,0.4197859507280941,860829.0,5.364829371244094e-25,high_c,3.7911460890124925e-23,22.421229480034246,24.270444086243334
GO:0005840,ribosome,cellular_component,202,6011,0.8341387288613861,0.7244528781452337,0.4178408717098254,831860.0,4.945474459918347e-24,high_c,2.995544530007684e-22,21.523524220058636,23.30579203663711
GO:0005618,cell wall,cellular_component,129,6011,0.8577331553488371,0.7244528781452337,0.5013930293181932,569612.0,1.7334546222809961e-22,high_c,8.166497331634915e-21,20.087964175501945,21.76108752265535
GO:0030312,external encapsulating structure,cellular_component,130,6011,0.8574328718461537,0.7244528781452337,0.4997004695695395,573283.0,1.668883531525376e-22,high_c,8.166497331634915e-21,20.087964175501945,21.7775739709186
GO:0043226,organelle,cellular_component,4197,6011,0.743442294588992,0.7244528781452337,0.15411070909840308,4393329.0,2.121903466425678e-21,high_c,8.996870697644876e-20,19.045908521123884,20.673274377716616
GO:0022625,cytosolic large ribosomal subunit,cellular_component,75,6011,0.8876355510666667,0.7244528781452337,0.6355256064690027,364068.0,2.7347457739454447e-21,high_c,1.0541201892298804e-19,18.97710986868375,20.563083040118258
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.8288124515000002,0.7244528781452337,0.38618998451213216,805515.0,1.402007281912076e-20,high_c,4.953759062756002e-19,18.30506512012809,19.8532497306732
GO:0005829,cytosol,cellular_component,1002,6011,0.7685469188822356,0.7244528781452337,0.18558530772354276,2975237.0,1.5780194858872835e-20,high_c,5.146771246278525e-19,18.288465134000987,19.801887638286882
GO:0005975,carbohydrate metabolic process,biological_process,192,6011,0.8199744064583333,0.7244528781452337,0.3809073724007561,771408.0,2.3877885026863606e-19,high_c,7.231588036707264e-18,17.140766322366872,18.622004143281366
GO:0016491,oxidoreductase activity,molecular_function,300,6011,0.8058096626666666,0.7244528781452337,0.3017743535866457,1115165.0,1.1076672473074672e-18,high_c,3.1310060857224404e-17,16.504316088246036,17.955590685783086
GO:0015934,large ribosomal subunit,cellular_component,123,6011,0.8450353568292683,0.7244528781452337,0.45161165606221276,525646.0,9.066301352690454e-18,high_c,2.40256985846297e-16,15.61932397568693,17.04256984962374
GO:0006091,generation of precursor metabolites and energy,biological_process,152,6011,0.8199996491447369,0.7244528781452337,0.35409536385767293,602957.0,8.358568348396793e-14,high_c,2.0847252821883767e-12,11.680951166728759,13.077868101943219
GO:0055085,transmembrane transport,biological_process,453,6011,0.7809235422295805,0.7244528781452337,0.20979960870197245,1523001.0,1.0345787194318809e-13,high_c,2.4370076502173197e-12,11.613143107482509,12.985236458971936
GO:0005886,plasma membrane,cellular_component,562,6011,0.7721597545017793,0.7244528781452337,0.18648561981074585,1816710.0,3.1015734275731475e-13,high_c,6.921405964689551e-12,11.159805677120483,12.508417932760386
GO:0005737,cytoplasm,cellular_component,2370,6011,0.7467705194683544,0.7244528781452337,0.11073463612375245,4792359.0,3.6922258193081523e-13,high_c,7.827518736933283e-12,11.106375884127912,12.432711745056663
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,218,6011,0.7976582507798167,0.7244528781452337,0.2841724510917163,810874.0,9.774030681645504e-13,high_c,1.9734233376274732e-11,10.704779740153716,12.00992630201253
GO:0032787,monocarboxylic acid metabolic process,biological_process,135,6011,0.8178364063703705,0.7244528781452337,0.351768650883695,536152.0,2.5843400941728425e-12,high_c,4.9807281814967505e-11,10.30270715882919,11.587650334599717
GO:0005773,vacuole,cellular_component,313,6011,0.7863065478274761,0.7244528781452337,0.2220049184905415,1089707.0,3.522980425676316e-11,high_c,6.223932085361491e-10,9.205935154950511,10.453089769831639
GO:0022857,transmembrane transporter activity,molecular_function,390,6011,0.7782534446153847,0.7244528781452337,0.20024815367281112,1315586.0,3.518715577128609e-11,high_c,6.223932085361491e-10,9.205935154950511,10.453615836397466
GO:0005576,extracellular region,cellular_component,68,6011,0.840186395,0.7244528781452337,0.4658916570161633,296201.0,3.692159129932975e-11,high_c,6.261901884366325e-10,9.203293741479902,10.432719589400596
