GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0043226,organelle,cellular_component,4197,6011,0.7567047797069336,0.7261456054350357,0.28917384418281666,4907471.0,4.626494084887687e-71,high_c,1.9616334919923793e-68,67.70738213216204,70.33474798875477
GO:0044281,small molecule metabolic process,biological_process,629,6011,0.7951600446740857,0.7261456054350357,0.33978450218859435,2267771.5,2.5369344341232244e-44,high_c,5.378301000341236e-42,41.26935489584102,43.59569075676977
GO:0005737,cytoplasm,cellular_component,2370,6011,0.7629524655189873,0.7261456054350357,0.21105575623147987,5225203.0,1.2818472081573335e-43,high_c,1.8116773875290314e-41,40.74191913628948,42.89216373816255
GO:0009058,biosynthetic process,biological_process,1299,6011,0.7726652412163203,0.7261456054350357,0.21679811818154482,3723942.5,4.438658533254277e-33,high_c,4.704978045249533e-31,30.32744239877216,32.35274826403693
GO:0043167,ion binding,molecular_function,1387,6011,0.7652323750829126,0.7261456054350357,0.17530632317391093,3768906.5,3.4993608001442015e-23,high_c,2.967457958522283e-21,20.52761542519936,22.456011277456074
GO:0005829,cytosol,cellular_component,1002,6011,0.7675266194610779,0.7261456054350357,0.19525612380748592,2999506.0,1.4911007340323037e-22,high_c,1.0537111853828278e-20,19.977278409790237,21.826493015999326
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,218,6011,0.8056633717431194,0.7261456054350357,0.3867369191225729,875637.0,2.7776880814732905e-22,high_c,1.6824853522066788e-20,19.774048708074865,21.55631652465334
GO:0005739,mitochondrion,cellular_component,1105,6011,0.7677811310045249,0.7261456054350357,0.18226329197049318,3204601.5,2.5500294115819758e-21,high_c,1.351515588138447e-19,18.86917894086169,20.59345481046248
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.810321204,0.7261456054350357,0.38846325933574266,806836.0,8.36547069235179e-21,high_c,3.9410661928412874e-19,18.404386270806995,20.077509617960402
GO:0032991,protein-containing complex,cellular_component,2030,6011,0.7595143930197044,0.7261456054350357,0.14401287890880687,4622630.0,5.948484144962765e-20,high_c,2.292870252240193e-18,17.639620520207004,19.22559369164151
GO:0009056,catabolic process,biological_process,865,6011,0.7730836361271676,0.7261456054350357,0.19421785594737706,2657905.0,5.516604895508033e-20,high_c,2.292870252240193e-18,17.639620520207004,19.25832811951249
GO:0016491,oxidoreductase activity,molecular_function,300,6011,0.7868139144333333,0.7261456054350357,0.2735726375999532,1091006.0,1.2536088962443568e-15,high_c,4.429418100063394e-14,13.353653324009574,14.901837934554683
GO:0005975,carbohydrate metabolic process,biological_process,192,6011,0.8022143029166667,0.7261456054350357,0.3329779959328636,744633.5,3.776513327809101e-15,high_c,1.231724346916199e-13,12.909486473996227,14.422908978282123
GO:0016787,hydrolase activity,molecular_function,851,6011,0.7668759485193889,0.7261456054350357,0.15920371837965375,2545124.5,9.169071461237902e-14,high_c,2.7769187854034788e-12,11.556436821570191,13.037674642484687
GO:0005886,plasma membrane,cellular_component,562,6011,0.7706427190035587,0.7261456054350357,0.18432877102396916,1813407.5,5.778943696350717e-13,high_c,1.6335147515018028e-11,10.786876939262063,12.238151536799116
