pct,group,n_genes,n_fdr_enriched,n_fdr_depleted,n_fdr_total,n_raw_total,min_p_fdr
5,High cross-weight c,300,152,5,157,299,2.2334235155088004e-19
5,Low cross-weight c,300,0,214,214,313,1.0315058275639573e-100
10,High cross-weight c,601,209,2,211,378,1.2718292014586324e-23
10,Low cross-weight c,601,0,329,329,513,2.2001030890989299e-134
15,High cross-weight c,901,194,4,198,410,6.609666486257687e-31
15,Low cross-weight c,901,0,307,307,572,3.6412490027554894e-115
20,High cross-weight c,1202,227,6,233,411,8.691239458169185e-37
20,Low cross-weight c,1202,0,321,321,593,1.138831414666732e-92
25,High cross-weight c,1502,223,2,225,397,5.544304789976093e-34
25,Low cross-weight c,1502,0,315,315,646,3.0397929028691496e-83
