label,n_resolved,mean_c,rank_biserial,p_two,expected_direction,direction_confirmed,p_fdr
Brauer UP (growth ↑),58,0.7406920051724137,0.015483355248295583,0.8389811961076512,high_c,True,0.8389811961076512
Brauer DOWN (growth ↓),31,0.8022757516129033,0.3654763189125041,0.0004396188723069319,low_c,False,0.0008792377446138638
Gasch ESR induced,29,0.8159702937931036,0.44894453475368645,2.954291915648611e-05,low_c,False,0.00011817167662594445
Gasch ESR repressed,33,0.772011719090909,0.2180216348834616,0.030533886005815417,high_c,True,0.04071184800775389
