GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0044281,small molecule metabolic process,biological_process,3.17362246153121e-27,1.2718292014586324e-23,22.895571207747786,26.49844473877397,150,601,629,6011,0.24958402662229617,2.3851344738102105,enriched,High cross-weight c
GO:0008152,metabolic process,biological_process,1.1387233961244164e-19,1.8253736039874395e-16,15.738648233922827,18.943581756276973,414,601,3094,6011,0.6888519134775375,1.3382963322280148,enriched,High cross-weight c
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,1.4687080037534295e-17,1.471461831260467e-14,13.832250998727774,16.833064538425994,66,601,218,6011,0.10981697171381032,3.0280266833564857,enriched,High cross-weight c
GO:0009058,biosynthetic process,biological_process,1.6616578287019765e-17,1.4797986107829268e-14,13.82979738472456,16.7794584019754,216,601,1299,6011,0.3594009983361065,1.6630942270964866,enriched,High cross-weight c
GO:0006753,nucleoside phosphate metabolic process,biological_process,4.874136039706088e-17,3.5514727598403906e-14,13.449591512062284,16.312102353594224,63,601,206,6011,0.1048252911813644,3.0587612878212687,enriched,High cross-weight c
GO:0044283,small molecule biosynthetic process,biological_process,9.278175204038112e-16,6.197047855030456e-13,12.207815150115383,15.032537430757921,73,601,276,6011,0.12146422628951747,2.6453676240082955,enriched,High cross-weight c
GO:0019752,carboxylic acid metabolic process,biological_process,8.168269531783109e-15,4.67633430694583e-12,11.33009444907734,14.087869940089265,75,601,299,6011,0.12479201331114809,2.5087785686063917,enriched,High cross-weight c
GO:0072521,purine-containing compound metabolic process,biological_process,1.2691212934227537e-14,6.781338111188914e-12,11.168684601565639,13.89649686920012,50,601,156,6011,0.08319467554076539,3.2056615043303895,enriched,High cross-weight c
GO:0043436,oxoacid metabolic process,biological_process,4.3484043824613116e-14,1.936247840301523e-11,10.713039053646245,13.361670075233103,76,601,314,6011,0.1264559068219634,2.4207848914229997,enriched,High cross-weight c
GO:0006082,organic acid metabolic process,biological_process,6.136980264727544e-14,2.588836674831119e-11,10.586895347578654,13.212045273315988,76,601,316,6011,0.1264559068219634,2.4054634680595632,enriched,High cross-weight c
GO:0006520,amino acid metabolic process,biological_process,7.680414939774709e-13,3.0779262871147146e-10,9.511741785246144,12.114615316272328,55,601,200,6011,0.09151414309484193,2.7504575707154744,enriched,High cross-weight c
GO:0006796,phosphate-containing compound metabolic process,biological_process,6.421587585062533e-12,2.147572633556807e-09,8.66805213887298,11.192357589657552,88,601,425,6011,0.1464226289517471,2.0709327591269453,enriched,High cross-weight c
GO:0044238,primary metabolic process,biological_process,6.430086045745124e-12,2.147572633556807e-09,8.66805213887298,11.191783215420683,346,601,2663,6011,0.5757071547420965,1.2995027064043343,enriched,High cross-weight c
GO:0005975,carbohydrate metabolic process,biological_process,6.430660412397176e-12,2.147572633556807e-09,8.66805213887298,11.191744423851537,52,601,192,6011,0.08652246256239601,2.7087839711591797,enriched,High cross-weight c
GO:1901605,alpha-amino acid metabolic process,biological_process,7.350151730130065e-12,2.3564586446796987e-09,8.627740177608144,11.133703695626272,42,601,136,6011,0.06988352745424292,3.088749143584222,enriched,High cross-weight c
GO:0019637,organophosphate metabolic process,biological_process,8.562544522931876e-12,2.6395690135114993e-09,8.578466978559634,11.067397157278979,82,601,386,6011,0.13643926788685523,2.124705801212142,enriched,High cross-weight c
GO:0006793,phosphorus metabolic process,biological_process,9.279353248053997e-12,2.7545931956723253e-09,8.55994252963245,11.032482292163627,90,601,442,6011,0.1497504159733777,2.036537896868718,enriched,High cross-weight c
