group,std_name,orf_id,cross_weight_c,pct_rank_from_top,iaa_mean_sens
growth,RPS3,YNL178W,0.95647,94.1,0.42527
growth,RPL28,YGL103W,0.77851,34.5,0.463
growth,RPL3,YOR063W,0.92437,81.8,0.34168
growth,RPL5,YPL131W,0.83602,48.6,0.2924
growth,RPL6A,YML073C,0.80486,39.9,0.37162
growth,RPL7A,YGL076C,0.94756,91.0,0.45624
growth,RPS2,YGL123W,0.9703,97.9,0.31612
growth,RPS5,YJR123W,0.95928,94.7,0.29564
growth,TEF1,YPR080W,0.97368,98.6,0.3407
growth,TEF2,YBR118W,0.98461,99.9,0.26257
growth,CDC19,YAL038W,0.8118,41.5,0.26348
growth,ENO2,YHR174W,0.9386,87.7,0.31953
growth,TDH3,YGR192C,0.90139,72.2,0.33879
growth,TDH2,YJR009C,0.89645,70.0,0.40248
growth,GPM1,YKL152C,0.89925,71.1,0.34216
growth,PGK1,YCR012W,0.95361,93.1,0.35719
growth,FBA1,YKL060C,0.88019,64.0,0.32301
growth,TPI1,YDR050C,0.93281,85.1,0.35103
growth,ADH1,YOL086C,0.94088,88.4,0.54991
growth,ILV5,YLR355C,0.9372,87.0,0.37565
growth,LEU4,YNL104C,0.8893,67.4,0.50635
growth,HIS4,YCL030C,0.89682,70.2,0.80729
growth,ARG4,YHR018C,0.86224,56.9,0.53998
sporulation,IME1,YJR094C,0.82983,46.4,0.39679
sporulation,IME2,YJL106W,0.69804,22.1,0.36602
sporulation,NDT80,YHR124W,0.82752,45.7,0.2657
sporulation,ZIP1,YDR285W,0.89891,71.0,0.26452
sporulation,ZIP2,YGL249W,0.93091,84.5,0.24135
sporulation,HOP1,YIL072W,0.8726,60.9,0.25936
sporulation,RED1,YLR263W,0.72327,25.2,0.43348
sporulation,SPO11,YHL022C,0.86776,58.9,0.44854
sporulation,REC8,YPR007C,0.77247,33.1,0.3044
sporulation,DMC1,YER179W,0.87505,61.6,0.37615
sporulation,HOP2,YGL033W,0.71575,24.2,0.31154
sporulation,MND1,YGL183C,0.85738,55.3,0.24569
sporulation,MSH4,YFL003C,0.8048,39.9,0.22501
sporulation,SPO20,YMR017W,0.89059,67.7,0.27262
sporulation,SPS4,YOR313C,0.78334,35.4,0.50031
sporulation,DIT1,YDR403W,0.90086,71.9,0.31074
sporulation,DIT2,YDR402C,0.93899,87.9,0.26133
sporulation,SUM1,YDR310C,0.62092,15.4,0.2641
sporulation,SMK1,YPR054W,0.90514,73.5,0.32676
