label,n_resolved,mean_c,rank_biserial,p_two,expected_direction,direction_confirmed,p_fdr
Brauer UP (growth ↑),58,0.8496523262068966,0.23143358607946163,0.002383405415623995,high_c,True,0.0031778738874986604
Brauer DOWN (growth ↓),31,0.8803621525806451,0.355691013054267,0.0006239890062796345,low_c,False,0.001247978012559269
Gasch ESR induced,29,0.8847583210344827,0.3795985658123797,0.00041280218800404683,low_c,False,0.001247978012559269
Gasch ESR repressed,33,0.8346662445454545,0.17778318480894595,0.07775537911963346,high_c,True,0.07775537911963346
