GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0019752,carboxylic acid metabolic process,biological_process,299,6011,0.8749893778260871,0.7859632289632339,0.38256606990622344,1180634.0,5.829333227070127e-29,high_c,1.011972248219374e-25,24.99483139719034,28.23438111803081
GO:0006753,nucleoside phosphate metabolic process,biological_process,206,6011,0.871923792300971,0.7859632289632339,0.3801451711363655,825209.5,1.6001223603100037e-20,high_c,6.944531043745416e-18,17.158357076346828,19.795846805859338
GO:0044283,small molecule biosynthetic process,biological_process,276,6011,0.863070006521739,0.7859632289632339,0.33054344667247904,1053032.0,1.5477276785822336e-20,high_c,6.944531043745416e-18,17.158357076346828,19.810305450689935
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.8758785359500001,0.7859632289632339,0.38666494579246247,805791.0,1.2589296489582723e-20,high_c,6.944531043745416e-18,17.158357076346828,19.89999853829792
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,218,6011,0.8685260223577982,0.7859632289632339,0.3648051983016516,861788.5,5.29653078834052e-20,high_c,1.8389554897118285e-17,16.735428782347828,19.27600849885228
GO:0016491,oxidoreductase activity,molecular_function,300,6011,0.8602831301666667,0.7859632289632339,0.3038627210646121,1116954.0,6.40738034117199e-19,high_c,1.5890303246106535e-16,15.79886781475901,18.193319495585225
GO:0005975,carbohydrate metabolic process,biological_process,192,6011,0.8715590686979168,0.7859632289632339,0.37664958899009005,769029.5,5.93263141183834e-19,high_c,1.5890303246106535e-16,15.79886781475901,18.226752633084637
GO:0072521,purine-containing compound metabolic process,biological_process,156,6011,0.8777502987820512,0.7859632289632339,0.4067770259913728,642461.0,3.812614738377513e-18,high_c,8.273373982279203e-16,15.08231734376531,17.41877707761384
GO:1901605,alpha-amino acid metabolic process,biological_process,136,6011,0.8824758327205883,0.7859632289632339,0.4186207759699625,566739.0,6.33586223842501e-17,high_c,1.2221174273228687e-14,13.912887062842898,16.19819427424405
GO:0170039,proteinogenic amino acid metabolic process,biological_process,128,6011,0.881294619453125,0.7859632289632339,0.4154422701002889,532931.0,8.070145316691303e-16,high_c,1.4009772269776102e-13,12.853568924156297,15.093118644996771
GO:0170033,L-amino acid metabolic process,biological_process,124,6011,0.8798269336290322,0.7859632289632339,0.40768889351605786,513798.0,7.194322665271932e-15,high_c,1.1353949224465523e-12,11.94485305229695,14.143010087979198
GO:0009117,nucleotide metabolic process,biological_process,150,6011,0.8680727250266667,0.7859632289632339,0.3656418131149406,600302.0,1.8828730321133282e-14,high_c,2.7238896531239484e-12,11.56481049000817,13.725178964801017
GO:0006163,purine nucleotide metabolic process,biological_process,115,6011,0.8801603631304348,0.7859632289632339,0.414571411716123,479568.0,2.428165103173778e-14,high_c,3.2425343223920607e-12,11.489115418190194,13.61472178672383
GO:0016053,organic acid biosynthetic process,biological_process,152,6011,0.8682334667763157,0.7859632289632339,0.35468824390725917,603221.0,7.60113056178246e-14,high_c,8.797041770169566e-12,11.055663345904508,13.119121807689298
GO:0046394,carboxylic acid biosynthetic process,biological_process,152,6011,0.8682334667763157,0.7859632289632339,0.35468824390725917,603221.0,7.60113056178246e-14,high_c,8.797041770169566e-12,11.055663345904508,13.119121807689298
GO:0032787,monocarboxylic acid metabolic process,biological_process,135,6011,0.8733154839999999,0.7859632289632339,0.360028237904344,539428.0,7.893973355968015e-13,high_c,8.564961091225296e-11,10.067274605600343,12.102704343784891
GO:0044282,small molecule catabolic process,biological_process,140,6011,0.8745513881428572,0.7859632289632339,0.35272160984986733,555928.0,9.108505541963384e-13,high_c,9.301391541675549e-11,10.031452073632893,12.040552873095093
GO:0008652,amino acid biosynthetic process,biological_process,96,6011,0.8819687437499999,0.7859632289632339,0.4233446041138349,404116.0,1.0319808072044853e-12,high_c,9.952881562816592e-11,10.002051163912235,11.986328379649402
GO:1901607,alpha-amino acid biosynthetic process,biological_process,93,6011,0.8821910233333333,0.7859632289632339,0.422472718551385,391446.0,2.5365048929843633e-12,high_c,2.3175644706425553e-10,9.634968175692697,11.59576429558034
GO:0006091,generation of precursor metabolites and energy,biological_process,152,6011,0.8654276794736842,0.7859632289632339,0.32862510218197816,591615.5,4.279853947455995e-12,high_c,3.7149132263918035e-10,9.430051326113189,11.36857105128968
GO:0019842,vitamin binding,molecular_function,49,6011,0.9152352989795919,0.7859632289632339,0.5719077970000479,229607.0,5.0175869591805106e-12,high_c,4.1478718862558887e-10,9.382174665964618,11.299505092071172
GO:0043233,organelle lumen,cellular_component,291,6011,0.8479789908591064,0.7859632289632339,0.23870365030158847,1030923.5,6.008475552808018e-12,high_c,4.346130649864466e-10,9.3618972224098,11.221235701538667
GO:0070013,intracellular organelle lumen,cellular_component,291,6011,0.8479789908591064,0.7859632289632339,0.23870365030158847,1030923.5,6.008475552808018e-12,high_c,4.346130649864466e-10,9.3618972224098,11.221235701538667
GO:0031974,membrane-enclosed lumen,cellular_component,291,6011,0.8479789908591064,0.7859632289632339,0.23870365030158847,1030923.5,6.008475552808018e-12,high_c,4.346130649864466e-10,9.3618972224098,11.221235701538667
GO:0170038,proteinogenic amino acid biosynthetic process,biological_process,90,6011,0.8802297567777777,0.7859632289632339,0.41150331212820657,376088.0,1.942381661256251e-11,high_c,1.3487898255763408e-09,8.870055718751894,10.711665430920329
GO:0046496,nicotinamide nucleotide metabolic process,biological_process,69,6011,0.8898961336231884,0.7859632289632339,0.4630315269830585,299920.0,3.521434344129274e-11,high_c,2.351234623618623e-09,8.628704031590175,10.45328040445983
GO:0016052,carbohydrate catabolic process,biological_process,78,6011,0.8888105694871796,0.7859632289632339,0.43536153716500925,332124.0,3.695038967137945e-11,high_c,2.3757732025746197e-09,8.624195020581242,10.432380977262728
GO:0000324,fungal-type vacuole,cellular_component,272,6011,0.8470992402205882,0.7859632289632339,0.2356983436343696,964467.5,4.760813155681707e-11,high_c,2.8499212545736016e-09,8.545167139702587,10.322318862644103
GO:0000322,storage vacuole,cellular_component,272,6011,0.8470992402205882,0.7859632289632339,0.2356983436343696,964467.5,4.760813155681707e-11,high_c,2.8499212545736016e-09,8.545167139702587,10.322318862644103
GO:0000323,lytic vacuole,cellular_component,273,6011,0.8470780373626373,0.7859632289632339,0.23489505730704763,967215.5,5.1243147959128066e-11,high_c,2.9652701619015442e-09,8.527935732492631,10.29036419861344
GO:0006066,alcohol metabolic process,biological_process,111,6011,0.8747197335135133,0.7859632289632339,0.36282485875706216,446257.0,5.419058053199661e-11,high_c,3.0346725097918103e-09,8.51788816945341,10.266076196459611
GO:0072524,pyridine-containing compound metabolic process,biological_process,84,6011,0.8824608585714283,0.7859632289632339,0.4098154530919842,350951.0,1.0509546460945439e-10,high_c,5.701428955062901e-09,8.244016283007687,9.978416025528253
GO:0005618,cell wall,cellular_component,129,6011,0.873463077751938,0.7859632289632339,0.32875360118506336,504114.5,1.5844506016156724e-10,high_c,8.335170437590324e-09,8.0790855152903,9.800121296252886
GO:0009277,fungal-type cell wall,cellular_component,127,6011,0.8735179112598427,0.7859632289632339,0.33054406183591434,497136.5,1.7378382511868778e-10,high_c,8.520470329792566e-09,8.069536431524865,9.759990647844765
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",molecular_function,88,6011,0.880851794431818,0.7859632289632339,0.3959621966755176,363804.5,1.7050942738304015e-10,high_c,8.520470329792566e-09,8.069536431524865,9.768251604077664
