gene,cross_weight_c,iaa_mean_sens
YML052W,0.7513488,0.29166827
YDL222C,0.76629186,0.6413923
YGR237C,0.7739657,0.29224733
YOL100W,0.78451675,0.34957746
YMR086W,0.7869853,0.21234529
YGR131W,0.8245358,0.31000543
YPR149W,0.8313092,0.3517729
YGR130C,0.8371497,0.27571854
YBR021W,0.85630316,0.42001235
YCR004C,0.85881996,0.29460144
YGR086C,0.8782941,0.27183458
YNL194C,0.89659154,0.9801945
YMR031C,0.89836097,0.26607987
YGL008C,0.9065544,0.31868318
YOL020W,0.9276265,0.29339585
YNL268W,0.9285055,0.17340937
YBR052C,0.94312495,0.36196813
YPL004C,0.95224994,0.38799736
YDR032C,0.97625244,0.5467034
YEL063C,0.97835666,0.36362097
