gene,cross_weight_c,iaa_mean_sens
YGR131W,0.62754464,0.31000543
YOL100W,0.7162271,0.34957746
YNL194C,0.7194987,0.9801945
YDL222C,0.7435705,0.6413923
YMR086W,0.74703884,0.21234529
YBR052C,0.7564125,0.36196813
YBR021W,0.7821822,0.42001235
YOL020W,0.8199905,0.29339585
YPR149W,0.82143265,0.3517729
YMR031C,0.8237171,0.26607987
YGL008C,0.82472706,0.31868318
YML052W,0.82618666,0.29166827
YGR237C,0.8315899,0.29224733
YGR130C,0.84817666,0.27571854
YPL004C,0.86352515,0.38799736
YCR004C,0.8661727,0.29460144
YEL063C,0.8688146,0.36362097
YNL268W,0.87151444,0.17340937
YDR032C,0.8749588,0.5467034
YGR086C,0.8838294,0.27183458
