label,n_resolved,mean_c,rank_biserial,p_two,expected_direction,direction_confirmed,p_fdr
Brauer UP (growth ↑),58,0.8701046510344829,0.41723964156003635,4.3343355141153875e-08,high_c,True,1.733734205646155e-07
Brauer DOWN (growth ↓),31,0.8392174419354839,0.31150070126227214,0.0027359421686035086,low_c,False,0.0027359421686035086
Gasch ESR induced,29,0.8585367848275861,0.3790567103609679,0.0004207421163883126,low_c,False,0.0006850717829326648
Gasch ESR repressed,33,0.8483309487878787,0.35009175056013464,0.0005138038371994986,high_c,True,0.0006850717829326648
