gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YAL001C,0.7155387,0.18786146,1.0,mid
YAL002W,0.7836596,0.31135222,0.0,mid
YAL003W,0.5292619,0.24844068,0.0,mid
YAL004W,0.40175188,0.5152461,17.0,mid
YAL005C,0.8798781,0.66292274,31.0,mid
YAL007C,0.8207342,0.33046484,4.0,mid
YAL008W,0.48075083,0.30663422,4.0,mid
YAL009W,0.64866906,0.23577169,0.0,mid
YAL010C,0.7095615,0.2132475,0.0,mid
YAL011W,0.7459702,0.24248935,1.0,mid
YAL012W,0.89098096,0.31212896,6.0,mid
YAL013W,0.88616455,0.22042528,0.0,mid
YAL014C,0.6595256,0.1322946,0.0,mid
YAL015C,0.5630954,0.22587267,1.0,mid
YAL016C-A,0.40414685,0.37727004,5.0,mid
YAL016C-B,0.19236821,0.27101848,5.0,low_c
YAL016W,0.7378783,0.17323987,0.0,mid
YAL017W,0.4279399,0.3388881,4.0,mid
YAL018C,0.8496637,0.15241489,1.0,mid
YAL019W,0.5515366,0.27742437,0.0,mid
YAL019W-A,0.32609156,0.4282551,7.0,low_c
YAL020C,0.48793644,0.22220397,0.0,mid
YAL021C,0.5764754,0.18148285,0.0,mid
YAL022C,0.7723054,0.13961676,0.0,mid
YAL023C,0.7370444,0.19704488,0.0,mid
YAL024C,0.68066853,0.33193085,1.0,mid
YAL025C,0.5451658,0.45852524,17.0,mid
YAL026C,0.5362369,0.18047068,0.0,mid
YAL026C-A,0.7461803,0.30139217,4.0,mid
YAL027W,0.71640253,0.1729049,1.0,mid
YAL028W,0.73506993,0.4361194,10.0,mid
YAL029C,0.80901957,0.21248874,0.0,mid
YAL030W,0.6887796,0.34571218,2.0,mid
YAL031C,0.6889087,0.32960913,1.0,mid
YAL031W-A,0.37539726,0.3888229,4.0,mid
YAL032C,0.80020666,0.18561162,0.0,mid
YAL033W,0.6956076,0.3035557,2.0,mid
YAL034C,0.64790535,0.37793475,7.0,mid
YAL034C-B,0.2818813,0.32585904,5.0,low_c
YAL034W-A,0.7764,0.29690486,1.0,mid
YAL035W,0.69902563,0.30739465,0.0,mid
YAL036C,0.64041156,0.42259222,4.0,mid
