gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBL007C,0.9345265,0.2292874,2.0,mid
YBL008W,0.6182831,0.25095975,0.0,mid
YBL008W-A,0.6545447,0.3902727,9.0,mid
YBL009W,0.5673469,0.3413738,5.0,mid
YBL010C,0.7697534,0.21017152,0.0,mid
YBL011W,0.9099932,0.20120864,0.0,mid
YBL012C,0.64236444,0.36039734,6.0,mid
YBL013W,0.4901585,0.33043963,1.0,mid
YBL014C,0.7636647,0.2722659,0.0,mid
YBL015W,0.95031613,0.375778,3.0,high_c
YBL016W,0.7325486,0.45047715,16.0,mid
YBL017C,0.88112056,0.1967984,0.0,mid
YBL018C,0.7319769,0.36950108,4.0,mid
YBL019W,0.7670143,0.20917028,0.0,mid
YBL020W,0.72257006,0.16419293,0.0,mid
YBL021C,0.5713412,0.25907633,0.0,mid
YBL022C,0.45535836,0.20140699,1.0,mid
YBL023C,0.46077278,0.22142869,0.0,mid
YBL024W,0.9180763,0.2066534,1.0,mid
YBL025W,0.5068557,0.2656644,0.0,mid
YBL026W,0.8319739,0.30257097,2.0,mid
YBL027W,0.93278193,0.40275547,16.0,mid
YBL028C,0.8087636,0.39319402,12.0,mid
YBL029C-A,0.8938558,0.23741047,2.0,mid
YBL029W,0.76023,0.44886968,10.0,mid
YBL030C,0.9426155,0.24438271,2.0,high_c
YBL031W,0.58880395,0.3025842,2.0,mid
YBL032W,0.93587273,0.27144346,4.0,mid
YBL033C,0.91174895,0.27035254,1.0,mid
YBL034C,0.5962439,0.28238612,0.0,mid
YBL035C,0.4828221,0.32727864,3.0,mid
YBL036C,0.6638732,0.17697208,1.0,mid
YBL037W,0.55674094,0.24968071,0.0,mid
YBL038W,0.77433836,0.21715327,0.0,mid
YBL039C,0.86743253,0.39260116,6.0,mid
YBL039C-A,0.8498516,0.0,0.0,mid
YBL039W-B,0.66138136,0.34130183,2.0,mid
YBL040C,0.93029815,0.22370443,1.0,mid
YBL041W,0.8990285,0.19869015,0.0,mid
YBL042C,0.891358,0.49377546,16.0,mid
YBL043W,0.9533661,0.5980391,19.0,high_c
YBL044W,0.55235887,0.47562018,11.0,mid
YBL045C,0.9403613,0.35791045,9.0,mid
YBL046W,0.71567875,0.26182932,0.0,mid
YBL047C,0.78615385,0.24375404,0.0,mid
YBL048W,0.75121117,0.35802078,6.0,mid
YBL049W,0.71701914,0.59061027,27.0,mid
YBL050W,0.9220873,0.1873596,0.0,mid
YBL051C,0.8760652,0.19752917,0.0,mid
YBL052C,0.7674708,0.2233427,2.0,mid
YBL053W,0.53586644,0.39344475,6.0,mid
YBL054W,0.85903275,0.5643816,22.0,mid
YBL055C,0.9207402,0.21836607,0.0,mid
YBL056W,0.8061178,0.18084955,1.0,mid
YBL057C,0.82126206,0.22701949,0.0,mid
YBL058W,0.7423615,0.19200103,1.0,mid
YBL059C-A,0.5080294,0.28633583,0.0,mid
YBL059W,0.42922744,0.30165452,1.0,mid
YBL060W,0.47383726,0.29039544,0.0,mid
YBL061C,0.6531035,0.22305624,0.0,mid
YBL062W,0.40056217,0.339377,6.0,mid
YBL063W,0.75686693,0.33215043,1.0,mid
YBL064C,0.9363545,0.7165091,35.0,mid
YBL065W,0.3000171,0.40868542,8.0,low_c
YBL066C,0.54809856,0.44674963,6.0,mid
YBL067C,0.6072046,0.26542717,0.0,mid
YBL068W,0.49289832,0.25054216,0.0,mid
YBL068W-A,0.75262916,0.0,0.0,mid
YBL069W,0.8027479,0.1999546,0.0,mid
YBL070C,0.6497094,0.3347349,4.0,mid
YBL071C,0.61724067,0.4354717,8.0,mid
YBL071C-B,0.8068881,0.41936842,11.0,mid
YBL071W-A,0.59027547,0.3768341,6.0,mid
YBL072C,0.87293386,0.4500513,16.0,mid
YBL073W,0.40602592,0.21077353,5.0,mid
YBL074C,0.61500967,0.38715723,1.0,mid
YBL075C,0.8019946,0.2773424,0.0,mid
YBL076C,0.9142835,0.2566344,0.0,mid
YBL077W,0.27702045,0.33377638,6.0,low_c
YBL078C,0.74353915,0.3999605,5.0,mid
YBL079W,0.587625,0.20953858,1.0,mid
YBL080C,0.90430546,0.21014358,1.0,mid
YBL081W,0.39793524,0.43416733,6.0,mid
YBL082C,0.7364663,0.3452288,3.0,mid
YBL083C,0.7945815,0.004837148,0.0,mid
