gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YAL001C,0.88560694,0.18786146,1.0,mid
YAL002W,0.824503,0.31135222,0.0,mid
YAL003W,0.49407175,0.24844068,0.0,mid
YAL004W,0.6218918,0.5152461,17.0,mid
YAL005C,0.9670349,0.66292274,31.0,high_c
YAL007C,0.85035944,0.33046484,4.0,mid
YAL008W,0.529983,0.30663422,4.0,mid
YAL009W,0.8381936,0.23577169,0.0,mid
YAL010C,0.8820668,0.2132475,0.0,mid
YAL011W,0.7549129,0.24248935,1.0,mid
YAL012W,0.88753253,0.31212896,6.0,mid
YAL013W,0.91006947,0.22042528,0.0,mid
YAL014C,0.8435132,0.1322946,0.0,mid
YAL015C,0.65590346,0.22587267,1.0,mid
YAL016C-A,0.23751037,0.37727004,5.0,low_c
YAL016C-B,0.3404832,0.27101848,5.0,mid
YAL016W,0.84758234,0.17323987,0.0,mid
YAL017W,0.37627304,0.3388881,4.0,mid
YAL018C,0.7321253,0.15241489,1.0,mid
YAL019W,0.8713343,0.27742437,0.0,mid
YAL019W-A,0.5431814,0.4282551,7.0,mid
YAL020C,0.6799756,0.22220397,0.0,mid
YAL021C,0.7334714,0.18148285,0.0,mid
YAL022C,0.94844735,0.13961676,0.0,mid
YAL023C,0.7680157,0.19704488,0.0,mid
YAL024C,0.6002169,0.33193085,1.0,mid
YAL025C,0.47733077,0.45852524,17.0,mid
YAL026C,0.8236381,0.18047068,0.0,mid
YAL026C-A,0.80702883,0.30139217,4.0,mid
YAL027W,0.8667572,0.1729049,1.0,mid
YAL028W,0.75025326,0.4361194,10.0,mid
YAL029C,0.841929,0.21248874,0.0,mid
YAL030W,0.8194504,0.34571218,2.0,mid
YAL031C,0.86130786,0.32960913,1.0,mid
YAL031W-A,0.44988632,0.3888229,4.0,mid
YAL032C,0.7253171,0.18561162,0.0,mid
YAL033W,0.845031,0.3035557,2.0,mid
YAL034C,0.8581809,0.37793475,7.0,mid
YAL034C-B,0.4224819,0.32585904,5.0,mid
YAL034W-A,0.70263696,0.29690486,1.0,mid
YAL035W,0.89989895,0.30739465,0.0,mid
YAL036C,0.9134497,0.42259222,4.0,mid
YAL037C-A,0.21865746,0.6477861,17.0,low_c
YAL037C-B,0.37073424,0.48271397,9.0,mid
YAL037W,0.875967,0.26105234,1.0,mid
YAL038W,0.8118012,0.26348194,1.0,mid
YAL039C,0.8383851,0.23653592,2.0,mid
YAL040C,0.89292246,0.422057,5.0,mid
YAL041W,0.720515,0.26106757,1.0,mid
YAL042C-A,0.49765578,0.4181984,6.0,mid
YAL042W,0.9250833,0.28940746,5.0,mid
YAL043C,0.8673195,0.23330362,1.0,mid
YAL044C,0.9059413,0.43267804,8.0,mid
YAL044W-A,0.8489367,0.24214338,1.0,mid
YAL045C,0.2598426,0.3754098,4.0,low_c
YAL046C,0.86291844,0.25970185,0.0,mid
YAL047C,0.8256618,0.18824296,0.0,mid
YAL047W-A,0.4011476,0.43214634,5.0,mid
YAL048C,0.8444798,0.33028033,0.0,mid
YAL049C,0.9126586,0.17029472,0.0,mid
YAL051W,0.5850115,0.25406566,0.0,mid
YAL053W,0.90546,0.16236237,0.0,mid
YAL054C,0.9327798,0.21497959,2.0,mid
YAL055W,0.82665974,0.30896243,0.0,mid
YAL056C-A,0.23493282,0.39940134,5.0,low_c
YAL056W,0.76601297,0.24590781,0.0,mid
YAL058W,0.95327747,0.16112146,0.0,mid
YAL059C-A,0.23911512,0.43416104,6.0,low_c
YAL059W,0.48879135,0.38449973,6.0,mid
YAL060W,0.9293159,0.40915442,11.0,mid
YAL061W,0.8625869,0.8539029,46.0,mid
